"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1851566147776508294","Wed Oct 30 18:19:39 +0000 2024","0","@gonuking udah tutup katanya kemaren tbtb yg daftar MEMBLUDAK ‍ btw KENAPA HARUS KYK RITSUKI... bukan berlinang air mata lg tp air liur..?","1851690445287674278","","gonuking","in","","0","1","0","https://x.com/amorgeon/status/1851690445287674278","1423261661541011463","amorgeon"
"1851686180628406774","Wed Oct 30 18:12:46 +0000 2024","0","@secbuby ak yg marah marah..","1851688714495496526","","secbuby","in","","0","1","0","https://x.com/gempwiy/status/1851688714495496526","877621309248634881","gempwiy"
"1851686180628406774","Wed Oct 30 18:12:37 +0000 2024","0","@nobakeOpso biasalah cewe","1851688676667068435","","nobakeOpso","in","","0","0","0","https://x.com/gempwiy/status/1851688676667068435","877621309248634881","gempwiy"
"1851686180628406774","Wed Oct 30 18:12:24 +0000 2024","0","@hijruah keliatan ya","1851688622367608982","","hijruah","in","","0","0","0","https://x.com/gempwiy/status/1851688622367608982","877621309248634881","gempwiy"
"1851688441073078302","Wed Oct 30 18:11:41 +0000 2024","0","hapal banget? https://t.co/Ya6MFFJyAS","1851688441073078302","https://pbs.twimg.com/media/GbKE0lWakAIhhDJ.jpg","","in","","0","1","0","https://x.com/gempwiy/status/1851688441073078302","877621309248634881","gempwiy"
"1851565927625826399","Wed Oct 30 18:11:23 +0000 2024","0","@ayyuaspita19 wedi bgt disedot ritsuki","1851688365890138279","","ayyuaspita19","in","","0","0","0","https://x.com/punyamatchaaa/status/1851688365890138279","1719681400071393281","punyamatchaaa"
"1851565927625826399","Wed Oct 30 18:03:21 +0000 2024","0","@ayyuaspita19 Ritsuki kalo nangis kebiasaan deh","1851686343187010004","","ayyuaspita19","in","Rbg, Jawa Tengah","0","0","0","https://x.com/dinanadinaaaa/status/1851686343187010004","1184001943284285441","dinanadinaaaa"
"1851686180628406774","Wed Oct 30 18:02:42 +0000 2024","0","udh malem masi marah2 mulu","1851686180628406774","","","in","","0","4","0","https://x.com/gempwiy/status/1851686180628406774","877621309248634881","gempwiy"
"1851685527382298797","Wed Oct 30 18:00:07 +0000 2024","0","emg bole ya udh dtinggal jam segini","1851685527382298797","","","in","","0","1","0","https://x.com/gempwiy/status/1851685527382298797","877621309248634881","gempwiy"
"1851398397372387377","Wed Oct 30 17:58:11 +0000 2024","0","@dikidawawe3 mulus bgt kocak","1851685044253004059","","dikidawawe3","in","","0","0","0","https://x.com/gempwiy/status/1851685044253004059","877621309248634881","gempwiy"
